opis_id,name,address,city,state,rack_id,retail_price,latitude,longitude,geocode_quality
72748,HORIZON TRAVEL PLAZA,US-411,Cartersville,GA,193,2.934,34.20889,-84.82502,STREET
71575,Racetrac #2308,SR-161,Irving,TX,630,2.93566666,32.86528,-97.00318,STREET
73130,A One Stop,"I-45, EXIT 246",Ennis,TX,630,2.93566666,32.33203,-96.61365,ADDRESS
72725,CASEYS #4481,US 75,Denison,TX,253,2.93566666,33.710034,-96.5856,POINT
66172,Timewise Food Store #163,"I-35, EXIT 8",Laredo,TX,693,2.93566666,27.61751,-99.49178,INTERSECTION
69621,Circle K #2741096,"I-10/US-90, EXIT 591 & FM-1518",Converse,TX,740,2.93566666,29.42923,-98.33305,ADDRESS
6736,EAGLEVILLE TRAVEL CENTER,"I-35 & ROUTE N, EXIT 106",Eagleville,MO,320,2.93566666,40.46659,-93.97786,INTERSECTION
72702,Loves Travel Stop #854,I-49 EXIT 215,Shreveport,LA,745,2.93733333,32.60143,-93.83288,INTERSECTION
5163,Blue Sky #733,"US-78, EXIT 81 & SR-178",Belden,MS,742,2.939,34.35313,-88.82486,ADDRESS
70459,GET N GO #22,I-90 & SR-115,Sioux Falls,SD,530,2.939,43.54706,-96.73128,ADDRESS
61596,HOT SPOT #2009,US-25/US-178 & SR-225,Greenwood,SC,30,2.939,34.19442,-82.16315,ADDRESS
3349,QUEEN CITY TRUCK STOP,"I-20 & I-59, EXIT150",Meridian,MS,705,2.939,32.3509,-88.74088,INTERSECTION
64675,Petro Mart #45,"I-70/US-40, EXIT 148 & US-54",Kingdom City,MO,392,2.939,38.9443,-91.94489,INTERSECTION
72713,Kwik Star #1217,FM 11,Sioux Falls,SD,530,2.939,43.54576,-96.73131,CITY
73099,Kwik Star #1296,SR 115,Harrisburg,SD,448,2.939,43.42437,-96.72751,STREET
71803,KENT KWIK #321,I-20 EXIT 143,Midland,TX,710,2.94066666,31.97383,-102.06931,ADDRESS
